K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
320	2	15182458	0.028	1.645	0.061	0.764	513	507.67
321	2	15182971	0.017	1.552	0.061	0.729	513	507.67
322	2	15183484	0.015	1.466	0.052	0.699	513	507.67
323	2	15183997	0.016	1.472	0.055	0.705	513	507.67
324	2	15184510	0.016	1.474	0.053	0.71	513	507.67
325	2	15185023	0.016	1.823	0.079	0.87	513	507.67
326	2	15185536	0.049	1.967	0.069	0.934	513	507.67
327	2	15186049	0.05	1.457	0.05	0.711	513	507.67
328	2	15186562	0.016	1.417	0.057	0.664	513	507.67
329	2	15187075	0.018	1.8	0.063	0.857	513	507.67
330	2	15187588	0.017	1.49	0.049	0.712	513	507.67
331	2	15188101	0.016	1.474	0.04	0.715	513	507.67
332	2	15188614	0.016	1.521	0.058	0.713	513	507.67
333	2	15189127	0.017	1.543	0.049	0.728	513	507.67
334	2	15189640	0.025	1.826	0.086	0.891	513	507.67
335	2	15190153	0.016	1.454	0.05	0.698	513	507.67
336	2	15190666	0.016	1.502	0.054	0.714	513	507.67
337	2	15191179	0.016	1.452	0.058	0.7	513	507.67
338	2	15191692	0.017	1.524	0.06	0.716	513	507.67
339	2	15192205	0.016	1.586	0.061	0.739	513	507.67
340	2	15192718	0.016	1.464	0.061	0.681	513	507.67
341	2	15193231	0.014	1.297	0.041	0.616	513	507.67
342	2	15193744	0.014	1.235	0.045	0.592	513	507.67
343	2	15194257	0.014	1.233	0.048	0.591	513	507.67
344	2	15194770	0.014	1.52	0.052	0.764	513	507.67
345	2	15195283	0.019	1.325	0.049	0.646	513	507.67
346	2	15195796	0.015	1.276	0.05	0.609	513	507.67
347	2	15196309	0.014	1.279	0.046	0.608	513	507.67
348	2	15196822	0.015	1.331	0.052	0.656	513	507.67
349	2	15197335	0.024	1.277	0.042	0.617	513	507.67
350	2	15197848	0.014	1.655	0.058	0.823	513	507.67
351	2	15198361	0.014	1.319	0.038	0.614	513	507.67
352	2	15198874	0.015	1.277	0.051	0.615	513	507.67
353	2	15199387	0.015	1.279	0.047	0.623	513	507.67
354	2	15199900	0.014	1.275	0.052	0.605	513	507.67
355	2	15200413	0.015	1.268	0.048	0.61	513	507.67
356	2	15200926	0.012	1.183	0.041	0.538	513	507.67
357	2	15201439	0.023	1.17	0.046	0.551	513	507.67
358	2	15201952	0.013	1.126	0.056	0.533	513	507.67
359	2	15202465	0.012	1.126	0.038	0.537	513	507.67
360	2	15202978	0.012	1.126	0.044	0.529	513	507.67
361	2	15203491	0.013	1.124	0.04	0.538	513	507.67
362	2	15204004	0.013	1.16	0.05	0.538	513	507.67
363	2	15204517	0.013	1.126	0.041	0.54	513	507.67
364	2	15205030	0.013	1.421	0.084	0.675	513	507.67
365	2	15205543	0.013	1.292	0.038	0.654	513	507.67
366	2	15206056	0.025	1.263	0.057	0.635	513	507.67
367	2	15206569	0.015	1.791	0.061	0.761	513	507.67
368	2	15207082	0.016	1.312	0.054	0.624	513	507.67
369	2	15207595	0.014	1.473	0.046	0.715	513	507.67
370	2	15208108	0.017	1.481	0.049	0.709	513	507.67
371	2	15208621	0.014	1.301	0.05	0.625	513	507.67
372	2	15209134	0.014	1.742	0.068	0.834	513	507.67
373	2	15209647	0.017	1.511	0.054	0.729	513	507.67
374	2	15210160	0.016	1.527	0.068	0.735	513	507.67
375	2	15210673	0.017	1.292	0.047	0.632	513	507.67
376	2	15211186	0.014	1.259	0.051	0.59	513	507.67
377	2	15211699	0.014	1.623	0.06	0.82	513	507.67
378	2	15212212	0.014	1.444	0.047	0.682	513	507.67
379	2	15212725	0.016	1.5	0.053	0.731	513	507.67
380	2	15213238	0.016	1.451	0.049	0.683	513	507.67
381	2	15213751	0.016	1.474	0.057	0.711	513	507.67
382	2	15214264	0.016	1.551	0.059	0.748	513	507.67
383	2	15214777	0.015	1.454	0.046	0.697	513	507.67
384	2	15215290	0.017	1.476	0.061	0.707	513	507.67
385	2	15215803	0.017	1.472	0.061	0.691	513	507.67
386	2	15216316	0.021	1.32	0.051	0.609	513	507.67
387	2	15216829	0.014	1.408	0.048	0.677	513	507.67
388	2	15217342	0.045	1.501	0.05	0.709	513	507.67
389	2	15217855	0.015	1.279	0.043	0.622	513	507.67
390	2	15218368	0.014	1.276	0.053	0.611	513	507.67
391	2	15218881	0.014	1.275	0.052	0.603	513	507.67
392	2	15219394	0.014	1.279	0.043	0.616	513	507.67
393	2	15219907	0.014	1.608	0.053	0.778	513	507.67
394	2	15220420	0.025	1.335	0.048	0.647	513	507.67
395	2	15220933	0.014	1.276	0.039	0.608	513	507.67
396	2	15221446	0.014	1.278	0.051	0.605	513	507.67
397	2	15221959	0.015	1.423	0.053	0.698	513	507.67
398	2	15222472	0.014	1.276	0.054	0.611	513	507.67
399	2	15222985	0.015	1.864	0.071	0.882	513	507.67
400	2	15223498	0.018	1.523	0.052	0.727	513	507.67
401	2	15224011	0.014	1.265	0.049	0.603	513	507.67
402	2	15224524	0.015	1.33	0.042	0.627	513	507.67
403	2	15225037	0.014	1.239	0.043	0.608	513	507.67
404	2	15225550	0.012	1.586	0.046	0.752	513	507.67
405	2	15226063	0.018	1.488	0.063	0.71	513	507.67
406	2	15226576	0.021	1.472	0.064	0.694	513	507.67
407	2	15227089	0.016	1.488	0.055	0.714	513	507.67
408	2	15227602	0.023	1.636	0.067	0.771	513	507.67
409	2	15228115	0.016	1.455	0.056	0.691	513	507.67
410	2	15228628	0.017	1.472	0.049	0.707	513	507.67
411	2	15229141	0.016	1.451	0.053	0.692	513	507.67
412	2	15229654	0.016	1.475	0.06	0.703	513	507.67
413	2	15230167	0.016	1.574	0.053	0.75	513	507.67
414	2	15230680	0.015	1.347	0.056	0.625	513	507.67
415	2	15231193	0.024	1.275	0.047	0.611	513	507.67
416	2	15231706	0.014	1.316	0.048	0.632	513	507.67
417	2	15232219	0.014	1.275	0.048	0.602	513	507.67
418	2	15232732	0.014	1.344	0.069	0.617	513	507.67
419	2	15233245	0.014	1.544	0.055	0.731	513	507.67
420	2	15233758	0.026	1.293	0.05	0.613	513	507.67
421	2	15234271	0.013	1.277	0.046	0.61	513	507.67
422	2	15234784	0.018	1.374	0.056	0.63	513	507.67
423	2	15235297	0.024	1.292	0.046	0.621	513	507.67
424	2	15235810	0.014	1.531	0.077	0.765	513	507.67
425	2	15236323	0.014	1.25	0.044	0.59	513	507.67
426	2	15236836	0.014	1.277	0.05	0.609	513	507.67
427	2	15237349	0.016	1.359	0.042	0.65	513	507.67
