K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
228	2	2093991	0.047	3.828	0.08	3.087	664	589.00
229	2	2094579	0.035	29.836	0.069	29.041	588	663.33
230	2	2095182	0.047	4.027	0.067	3.258	603	623.67
231	2	2095754	0.031	10.98	0.094	10.148	572	587.67
232	2	2096571	0.062	8.21	0.089	7.422	817	647.00
233	2	2097236	0.033	29.903	0.08	29.09	665	600.33
234	2	2098082	0.05	6.452	0.086	5.587	846	696.33
235	2	2098653	0.032	7.222	0.083	6.388	571	614.67
236	2	2099331	0.045	8.263	0.082	7.458	678	701.67
237	2	2100212	0.046	10.153	0.072	9.371	881	711.33
238	2	2100954	0.066	14.624	0.108	13.807	742	692.33
239	2	2101736	0.043	28.171	0.076	27.312	782	659.00
240	2	2102443	0.054	1.977	0.083	1.184	707	562.67
241	2	2103081	0.034	29.319	0.068	28.505	638	612.67
242	2	2103625	0.038	15.459	0.08	14.602	544	582.33
243	2	2104301	0.063	10.285	0.076	9.529	676	627.00
244	2	2104801	0.044	8.332	0.077	7.487	500	608.00
245	2	2105440	0.033	6.809	0.076	6.025	639	606.67
246	2	2105956	0.041	5.914	0.09	5.112	516	618.33
247	2	2106611	0.05	28.289	0.083	27.55	655	681.67
248	2	2107363	0.043	8.528	0.084	7.718	752	656.67
249	2	2108113	0.046	10.035	0.078	9.234	750	627.33
250	2	2108582	0.041	1.574	0.08	0.785	469	443.33
251	2	2109319	0.037	28.923	0.076	28.099	737	616.00
252	2	2109878	0.027	3.17	0.072	2.503	559	569.00
253	2	2110397	0.027	27.274	0.07	26.423	519	612.00
254	2	2111172	0.062	14.212	0.065	13.399	775	755.33
255	2	2111777	0.045	3.086	0.073	2.331	605	573.67
256	2	2112305	0.027	7.405	0.079	6.682	528	679.67
257	2	2113122	0.058	26.53	0.067	25.733	817	651.67
258	2	2113825	0.052	5.315	0.066	4.572	703	726.00
259	2	2114809	0.037	26.525	0.068	25.739	984	703.33
260	2	2115482	0.066	2.487	0.084	1.778	673	658.67
261	2	2116073	0.029	9.81	0.078	9.025	591	581.00
262	2	2116738	0.039	13.633	0.074	12.893	665	653.33
263	2	2117512	0.04	25.109	0.062	24.412	774	665.00
264	2	2118155	0.051	3.249	0.073	2.555	643	555.67
265	2	2118952	0.03	6.076	0.067	5.358	797	670.33
266	2	2119567	0.054	13.026	0.082	12.335	615	690.00
267	2	2120206	0.051	8.93	0.079	8.241	639	629.67
268	2	2120843	0.028	7.053	0.062	6.37	637	624.33
269	2	2121417	0.039	25.176	0.068	24.468	574	567.00
270	2	2122086	0.043	2.287	0.083	1.537	669	640.00
271	2	2122700	0.032	24.869	0.071	24.177	614	652.67
272	2	2123319	0.05	6.931	0.059	6.258	619	650.00
273	2	2124118	0.029	9.515	0.071	8.803	799	722.67
274	2	2124585	0.057	13.607	0.072	12.885	467	653.33
275	2	2125239	0.042	2.471	0.071	1.648	654	640.00
276	2	2125897	0.027	4.202	0.091	3.31	658	668.67
277	2	2126546	0.038	27.445	0.074	26.683	649	619.00
278	2	2127075	0.042	13.483	0.071	12.756	529	568.00
279	2	2127725	0.039	9.932	0.067	9.178	650	696.00
280	2	2128298	0.045	2.571	0.075	1.845	573	571.67
281	2	2128934	0.041	26.331	0.076	25.577	636	588.67
282	2	2129545	0.05	5.451	0.075	4.724	611	659.67
283	2	2130089	0.027	26.329	0.077	25.543	544	636.00
284	2	2130526	0.037	7.534	0.071	6.772	437	581.67
285	2	2131064	0.028	2.932	0.067	2.22	538	557.00
286	2	2131697	0.041	14.035	0.074	13.29	633	604.33
287	2	2132315	0.04	26.118	0.076	25.305	618	511.00
288	2	2132945	0.042	3.784	0.079	2.966	630	646.33
289	2	2133781	0.032	26.251	0.079	25.513	836	697.33
290	2	2134503	0.046	4.152	0.082	3.328	722	674.00
291	2	2135091	0.028	9.673	0.077	8.954	588	581.00
292	2	2135575	0.05	8.402	0.074	7.628	484	546.67
293	2	2136509	0.037	30.846	0.094	29.97	934	748.67
294	2	2137070	0.046	6.223	0.101	5.343	561	572.33
295	2	2137698	0.031	7.009	0.083	6.184	628	597.00
296	2	2138334	0.044	8.66	0.072	7.852	636	578.67
297	2	2138766	0.029	10.709	0.078	9.915	432	588.00
298	2	2139394	0.053	15.407	0.078	14.593	628	682.67
299	2	2140007	0.044	29.602	0.072	28.722	613	625.67
300	2	2140462	0.053	1.789	0.083	0.9	455	424.33
301	2	2141152	0.038	29.26	0.085	28.416	690	674.00
